gisaid_epi_isl,division,location,pangolin_lineage,date_submitted
EPI_ISL_17493387,Liaoning,Shenyang,DY.2,2023-04-06
EPI_ISL_17493386,Liaoning,Shenyang,DY.2,2023-04-06
EPI_ISL_17493385,Liaoning,Shenyang,DY.2,2023-04-06
EPI_ISL_17493384,Liaoning,Shenyang,BF.7.14,2023-04-06
EPI_ISL_17493383,Liaoning,Shenyang,DY.1,2023-04-06
EPI_ISL_17493382,Liaoning,Shenyang,DY.1,2023-04-06
EPI_ISL_17493381,Liaoning,Shenyang,DY.1,2023-04-06
EPI_ISL_17493380,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493379,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493378,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493377,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493376,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493375,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493374,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493373,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493372,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493371,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493370,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493369,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493368,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493367,Yunnan,Kunming,DY.3,2023-04-06
EPI_ISL_17493366,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493365,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493364,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493363,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493362,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493361,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493360,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493359,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493358,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493357,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493356,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493355,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493354,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493353,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493352,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493351,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493350,Yunnan,Kunming,DY.1.1,2023-04-06
EPI_ISL_17493349,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493348,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493347,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493346,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493345,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493344,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493343,Yunnan,Kunming,BF.7,2023-04-06
EPI_ISL_17493342,Yunnan,Kunming,DZ.1,2023-04-06
EPI_ISL_17493341,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493340,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493339,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493338,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493337,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493336,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493335,Yunnan,Kunming,DY.1.1,2023-04-06
EPI_ISL_17493334,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493333,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493332,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493331,Yunnan,Kunming,DY.1.1,2023-04-06
EPI_ISL_17493330,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493329,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493328,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493327,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493326,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493325,Yunnan,Kunming,BF.7.14.5,2023-04-06
EPI_ISL_17493324,Yunnan,Kunming,BF.7.14.5,2023-04-06
EPI_ISL_17493323,Yunnan,Kunming,BF.7.14.5,2023-04-06
EPI_ISL_17493322,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493321,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493320,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493319,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493318,Yunnan,Kunming,DY.4,2023-04-06
EPI_ISL_17493317,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493316,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493315,Yunnan,Kunming,DY.1.1,2023-04-06
EPI_ISL_17493314,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493313,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493312,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493311,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493310,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493309,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493308,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493307,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493306,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493305,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493304,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493303,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493302,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493301,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493300,Yunnan,Kunming,DY.1.1,2023-04-06
EPI_ISL_17493299,Yunnan,Kunming,DY.1.1,2023-04-06
EPI_ISL_17493298,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493297,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493296,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493295,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493294,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493293,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493292,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493291,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493290,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493289,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493288,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493287,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493286,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493285,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493284,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493283,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493282,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493281,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493280,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493279,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493278,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493277,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493276,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493275,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493274,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493273,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493272,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493271,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493270,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493269,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493268,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493267,Yunnan,Kunming,DY.3,2023-04-06
EPI_ISL_17493266,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493265,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493264,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493263,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493262,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493261,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493260,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493259,Yunnan,Kunming,DY.3,2023-04-06
EPI_ISL_17493258,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493257,Yunnan,Kunming,BF.7.14.4,2023-04-06
EPI_ISL_17493256,Yunnan,Kunming,BF.7.14,2023-04-06
EPI_ISL_17493255,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493254,Yunnan,Kunming,DY.3,2023-04-06
EPI_ISL_17493253,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493252,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493251,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493250,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493249,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493248,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493247,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493246,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493245,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493244,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493243,Yunnan,Kunming,DY.2,2023-04-06
EPI_ISL_17493242,Yunnan,Kunming,DY.3,2023-04-06
EPI_ISL_17493241,Yunnan,Kunming,DY.3,2023-04-06
EPI_ISL_17493240,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493239,Yunnan,Kunming,DY.3,2023-04-06
EPI_ISL_17493238,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493237,Yunnan,Kunming,DY.1,2023-04-06
EPI_ISL_17493236,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493235,Yunnan,Kunming,BA.5.2.48,2023-04-06
EPI_ISL_17493234,Shanxi,Taiyuan,BA.5.2.49,2023-04-07
EPI_ISL_17493233,Shanxi,Taiyuan,BF.7.14.5,2023-04-07
EPI_ISL_17493232,Shanxi,Taiyuan,BF.7.14.4,2023-04-07
EPI_ISL_17493231,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493230,Shanxi,Taiyuan,DY.1,2023-04-07
EPI_ISL_17493229,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493228,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493227,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493226,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493225,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493224,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493223,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493222,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493221,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493220,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493219,Shanxi,Taiyuan,BF.7.14.5,2023-04-07
EPI_ISL_17493218,Shanxi,Taiyuan,BF.7.14.4,2023-04-07
EPI_ISL_17493217,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493216,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493215,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493214,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493213,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493212,Shanxi,Taiyuan,DY.2,2023-04-07
EPI_ISL_17493211,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493210,Shanxi,Taiyuan,BF.7.14,2023-04-07
EPI_ISL_17493209,Shanxi,Taiyuan,BF.7.14.1,2023-04-07
EPI_ISL_17493208,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493207,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493206,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493205,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493204,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493203,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493202,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493201,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493200,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493199,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493198,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493197,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493196,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493195,Shanghai,,BF.7.14.4,2023-04-07
EPI_ISL_17493194,Shanghai,,BF.7.14.1,2023-04-07
EPI_ISL_17493193,Shanghai,,DY.4,2023-04-07
EPI_ISL_17493192,Shanghai,,DY.4,2023-04-07
EPI_ISL_17493191,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493190,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493189,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493188,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493187,Shanghai,,DY.4,2023-04-07
EPI_ISL_17493186,Shanghai,,BF.7.14.5,2023-04-07
EPI_ISL_17493185,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493184,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493183,Shanghai,,DY.1,2023-04-07
EPI_ISL_17493182,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493181,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493180,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493179,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493178,Shanghai,,BF.7.14.6,2023-04-07
EPI_ISL_17493177,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493176,Shanghai,,DY.3,2023-04-07
EPI_ISL_17493175,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493174,Shanghai,,BF.7.14.5,2023-04-07
EPI_ISL_17493173,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493172,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493171,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493170,Shanghai,,DY.1,2023-04-07
EPI_ISL_17493169,Shanghai,,BF.7.14,2023-04-07
EPI_ISL_17493168,Shanghai,,XBB 0.10,2023-04-07
EPI_ISL_17493167,Shanghai,,FL.4.3,2023-04-07
EPI_ISL_17493166,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493165,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493164,Shanghai,,DY.1,2023-04-07
EPI_ISL_17493163,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493162,Shanghai,,BA.5.2.6,2023-04-07
EPI_ISL_17493161,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493160,Shanghai,,DY.2,2023-04-07
EPI_ISL_17493159,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493158,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493157,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493156,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493155,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493154,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493153,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493152,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493151,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493150,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493149,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493148,Sichuan,Chengdu,BF.7.14.5,2023-04-07
EPI_ISL_17493147,Sichuan,Chengdu,BF.7.14.4,2023-04-07
EPI_ISL_17493146,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493145,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493144,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493143,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493142,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493141,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493140,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493139,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493138,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493137,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493136,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493135,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493134,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493133,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493132,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493131,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493130,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493129,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493128,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493127,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493126,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493125,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493124,Sichuan,Chengdu,BF.7.14.5,2023-04-07
EPI_ISL_17493123,Sichuan,Chengdu,DY.4,2023-04-07
EPI_ISL_17493122,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493121,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493120,Sichuan,Chengdu,BF.7.14.5,2023-04-07
EPI_ISL_17493119,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493118,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493117,Sichuan,Chengdu,BF.7.14.5,2023-04-07
EPI_ISL_17493116,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493115,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493114,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493113,Sichuan,Chengdu,DY.3,2023-04-07
EPI_ISL_17493112,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493111,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493110,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493109,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493108,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493107,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493106,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493105,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493104,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493103,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493102,Sichuan,Chengdu,BF.7.14.5,2023-04-07
EPI_ISL_17493101,Sichuan,Chengdu,DY.4,2023-04-07
EPI_ISL_17493100,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493099,Sichuan,Chengdu,DY.2,2023-04-07
EPI_ISL_17493098,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493097,Sichuan,Chengdu,DY.4,2023-04-07
EPI_ISL_17493096,Sichuan,Chengdu,BF.7.14.5,2023-04-07
EPI_ISL_17493095,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493094,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493093,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493092,Sichuan,Chengdu,BF.7.14.5,2023-04-07
EPI_ISL_17493091,Sichuan,Chengdu,BF.7.14.4,2023-04-07
EPI_ISL_17493090,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493089,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493088,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493087,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493086,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493085,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493084,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493083,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493082,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493081,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493080,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493079,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493078,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493077,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493076,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493075,Sichuan,Chengdu,DY.4,2023-04-07
EPI_ISL_17493074,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493073,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493072,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493071,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493070,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493069,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493068,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493067,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493066,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493065,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493064,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493063,Sichuan,Chengdu,BF.7.14,2023-04-07
EPI_ISL_17493062,Sichuan,Chengdu,BF.7,2023-04-07
EPI_ISL_17493061,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493060,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493059,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493058,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493057,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493056,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493055,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493054,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493053,Sichuan,Chengdu,BA.5.2.49,2023-04-07
EPI_ISL_17493052,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493051,Sichuan,Chengdu,DY.2,2023-04-07
EPI_ISL_17493050,Sichuan,Chengdu,DY.2,2023-04-07
EPI_ISL_17493049,Sichuan,Chengdu,BA.5.2.48,2023-04-07
EPI_ISL_17493048,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493047,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493046,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493045,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493044,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493043,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493042,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493041,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493040,Sichuan,Chengdu,BF.7.14.7,2023-04-07
EPI_ISL_17493039,Sichuan,Chengdu,DY.1,2023-04-07
EPI_ISL_17493038,Qinghai,,FL.2,2023-04-09
EPI_ISL_17493037,Qinghai,,BF.7.14,2023-04-09
EPI_ISL_17493036,Qinghai,,BF.7.14,2023-04-09
EPI_ISL_17493035,Qinghai,,DY.1,2023-04-09
EPI_ISL_17493034,Qinghai,,DZ.2,2023-04-09
EPI_ISL_17493033,Qinghai,,DZ.2,2023-04-09
EPI_ISL_17493032,Qinghai,,DZ.2,2023-04-09
EPI_ISL_17493031,Qinghai,,DZ.2,2023-04-09
EPI_ISL_17493030,Liaoning,Shenyang,DY.2,2023-04-09
EPI_ISL_17493029,Liaoning,Shenyang,BF.7.14.1,2023-04-09
EPI_ISL_17493028,Liaoning,Shenyang,BF.7.14,2023-04-09
EPI_ISL_17493027,Liaoning,Shenyang,BA.5.2.1,2023-04-09
EPI_ISL_17493026,Liaoning,Shenyang,BF.7.14,2023-04-09
EPI_ISL_17493025,Shaanxi,Xi'an,BA.5.2.49,2023-04-02
EPI_ISL_17493024,Shaanxi,Xi'an,BN.1.4.3,2023-04-02
EPI_ISL_17493023,Shaanxi,Xi'an,XBB 0.20,2023-04-02
EPI_ISL_17493022,Shaanxi,Xi'an,DY.1,2023-04-02
EPI_ISL_17493021,Shaanxi,Xi'an,BF.7.14,2023-04-02
EPI_ISL_17493020,Shaanxi,Xi'an,XBB 0.10,2023-04-02
EPI_ISL_17493019,Shaanxi,Xi'an,BF.7.14,2023-04-02
EPI_ISL_17493018,Shaanxi,Xi'an,BF.7.14,2023-04-02
EPI_ISL_17493017,Shaanxi,Xi'an,BF.7.14.2,2023-04-02
EPI_ISL_17493016,Shaanxi,Xi'an,XBB 0.10,2023-04-02
EPI_ISL_17493015,Shaanxi,Xi'an,FL.2.4,2023-04-02
EPI_ISL_17493014,Jilin,Changchun,DY.2,2023-04-02
EPI_ISL_17493013,Jilin,Changchun,BF.7.14,2023-04-02
EPI_ISL_17493012,Jilin,Changchun,BF.7.14,2023-04-02
EPI_ISL_17493011,Jilin,Changchun,DY.2,2023-04-02
EPI_ISL_17493010,Jilin,Changchun,DY.2,2023-04-02
